group_code,code,description
ท,ท 1.1,ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนำไปใช้ตัดสินใจ แก้ปัญหาในการดำเนินชีวิตและมีนิสัยรักการอ่าน
ท,ท 2.1,ใช้กระบวนการเขียน เขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่างๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ
ท,ท 3.1,สามารถเลือกฟังและดูอย่างมีวิจารณญาณ และพูดแสดงความรู้ ความคิด ความรู้สึกในโอกาสต่างๆ อย่างมีวิจารณญาณ และสร้างสรร
ท,ท 4.1,"
เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษา ภาษาไทยไว้เป็นสมบัติของชาติ"
ท,ท 5.1,"
เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดี และวรรณกรรมไทยอย่างเห็นคุณค่าและนํามาประยุกต์ใช้ในชีวิตจริง"
ค,ค 1.1,เข้าใจถึงความหลากหลายของการแสดงจํานวนและการใช้จํานวนในชีวิตจริง
ค,ค 1.2,"เข้าใจถึงผลที่เกิดขึ้นจากการดําเนินการของจํานวนและความสัมพันธ์ระหว่าง
การดําเนินการต่าง ๆ และใช้การดําเนินการในการแก้ปัญหา"
ค,ค 1.3,ใช้การประมาณค่าในการคํานวณและแก้ปัญหา
ค,ค 1.4,เข้าใจระบบจํานวนและนําสมบัติเกี่ยวกับจํานวนไปใช้
ค,ค 2.1,เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด
ค,ค 2.2,แก้ปัญหาเกี่ยวกับการวัด
ค,ค 3.1,อธิบายและวิเคราะห์รูปเรขาคณิตสองมิติและสามมิติ
ค,ค 3.2,"ใช้การนึกภาพ (visualization) ใช้เหตุผลเกี่ยวกับปริภูมิ (spatial reasoning)
และใช้แบบจําลองทางเรขาคณิต (geometric model) ในการแก้ปัญหา"
ค,ค 4.1,เข้าใจและวิเคราะห์แบบรูป (pattern) ความสัมพันธ์ และฟังก์ชัน
ค,ค 4.2,ใช้นิพจน์ สมการ อสมการ กราฟ และตัวแบบเชิงคณิตศาสตร์ (mathematical model) อื่น ๆ แทนสถานการณ์ต่าง ๆ ตลอดจนแปลความหมาย และนําไปใช้แก้ปัญหา
ค,ค 5.1,เข้าใจและใช้วิธีการทางสถิติในการวิเคราะห์ข้อมูล
ค,ค 5.2,ใช้วิธีการทางสถิติและความรู้เกี่ยวกับความน่าจะเป็นในการคาดการณ์ได้ อย่างสมเหตุสมผล
ค,ค 5.3,ใช้ความรู้เกี่ยวกับสถิตและความน่าจะเป็นช่วยในการตัดสินใจและแก้ปัญหา
ค,ค 6.1,มีความสามารถในการแก้ปัญหา การให้เหตุผล การสื่อสาร การสื่อ ความหมายทางคณิตศาสตร์ และการนําเสนอ การเชื่อมโยงความรู้ต่าง ๆทางคณิตศาสตร์และเชื่อมโยงคณิตศาสตร์กับศาสตร์อื่น ๆ และมีความคิดริเริ่มสร้างสรรค์
ว,ว 1.1,เข้าใจหน่วยพื้นฐานของสิ่งมีชีวิต ความสัมพันธ์ของโครงสร้าง และหน้าที่ของระบบต่างๆ ของสิ่งมีชีวิตที่ทํางานสัมพันธ์กัน มีกระบวนการสืบเสาะหาความรู้สื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใช้ในการดํารงชีวิตของตนเองและดูแลสิ่งมีชีวิต
ว,ว 1.2,เข้าใจกระบวนการและความสําคัญของการถ่ายทอดลักษณะทางพันธุกรรมวิวัฒนาการของสิ่งมีชีวิตความหลากหลายทางชีวภาพการใช้เทคโนโลยีชีวภาพที่มผลกระทบต่อมนุษย์และสิ่งแวดล้อม มีกระบวนการสืบเสาะหาความรู้และจิตวิทยาศาสตร์ สื่อสาร สิ่งที่เรียนรู้ และนําความรู้ไปใช้ประโยชน์
ว,ว 2.1,เข้าใจสิ่งแวดล้อมในท้องถิ่น ความสัมพันธระหว่างสิ่งแวดล้อมกับสิ่งมีชีวิตความสัมพันธ์ระหว่างสิ่งมีชีวิตต่าง ๆ ในระบบนิเวศ มีกระบวนการสืบเสาะหาความรู้และจิตวิทยาศาสตร์สื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใช้ประโยชน์
ว,ว 2.2,เข้าใจความสําคัญของทรัพยากรธรรมชาติ การใช้ทรัพยากรธรรมชาติในระดับท้องถิ่น ประเทศ และโลกนําความรู้ไปใช้ในในการจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อมในท้องถิ่นอย่างยั่งยืน
ว,ว 3.1,เข้าใจสมบัติของสาร ความสัมพันธ์ระหว่างสมบัติของสารกับโครงสร้างและแรงยึดเหนี่ยวระหว่างอนุภาค มีกระบวนการสืบเสาะ หาความรู้และจิตวิทยาศาสตร์สื่อสารสิ่งที่เรียนรู้ นําความรู้ไปใช้ประโยชน์
ว,ว 3.2,เข้าใจหลักการและธรรมชาติ ของการเปลี่ยนแปลงสถานะของสาร การเกิดสารละลาย การเกิดปฏิกิริยา มีกระบวนการสืบเสาะ หาความรู้และจิตวิทยาศาสตร์สื่อสารสิ่งที่เรียนรู้ และนําความรู้ไปใช้ประโยชน์
ว,ว 4.1,เข้าใจธรรมชาติของแรงแม่เหล็กไฟฟ้าแรงโน้มถ่วงและแรงนิวเคลียร์มีกระบวนการสืบเสาะหาความรู่สื่อสารสิ่งที่เรีนรู้และนําความรู้ไปใช้ประโยชน์อย่างถูกต้องและมีคุณธรรม
ว,ว 4.2,เข้าใจลักษณะการเคลื่อนที่แบบต่างๆ ของวัตถุในธรรมชาติมีกระบวนการสืบเสาะหาความรู้และจิตวิทยาศาสตร์ สื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใช้ประโยชน์
ว,ว 5.1,เข้าใจความสัมพันธ์ระหว่างพลังงานกับการดํารงชีวิต การเปลี่ยนรูปพลังงานปฏิสัมพันธ์ระหว่างสารและพลังงานผลของการใช้พลังงานต่อชีวิตและสิ่งแวดล้อมมีกระบวนการสืบเสาะหาความรู้ สื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใชประโยชน์
ว,ว 6.1,เข้าใจกระบวนการต่าง ๆ ที่เกิดขึ้นบนผิวโลกและภายในโลก ความสัมพันธ์ของกระบวนการต่าง ๆ ที่มีผลต่อการเปลี่ยนแปลงภูมิอากาศ ภูมิประเทศ และสัณฐานของโลก มีกระบวนการสืบเสาะหาความรู้และจิตวิทยาศาสตร์ สื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใช้ประโยชน์
ว,ว 7.1,เข้าใจวิวัฒนาการของระบบสุริยะ กาแล็กซีและเอกภพการปฏิสัมพันธ์ภายในระบบสุริยะและผลต่อสิ่งมีชีวิตบนโลก มีกระบวนการสืบเสาะ หาความรู้และจิตวิทยาศาสตร์ การสื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใช้ประโยชน์
ว,ว 7.2,เข้าใจความสําคัญของเทคโนโลยีอวกาศที่นํามาใช้ในการสํารวจอวกาศและทรัพยากรธรรมชาติ ด้านการเกษตรและการสื่อสาร มีกระบวนการสืบเสาะหาความรู้และจิตวิทยาศาสตร์ สื่อสารสิ่งที่เรียนรู้และนําความรู้ไปใช้ประโยชน์อย่างมีคุณธรรมต่อชีวิตและสิ่งแวดล้อม
ว,ว 8.1,ใช้กระบวนการทางวิทยาศาสตร์และจิตวิทยาศาสตร์ในการสืบเสาะหาความรู้การแก้ปัญหารู้ว่าปรากฏการณ์ทางธรรมชาติที่เกิดขึ้นส่วนใหญ่ มีรูปแบบที่แน่นอน สามารถอธิบายและตรวจสอบได้ ภายใต้ข้อมูลและเครื่องมือที่มีอยู่ในช่วงเวลานั้นๆ เข้าใจว่าวิทยาศาสตร์ เทคโนโลยีสังคมและสิ่งแวดล้อมมีความเกี่ยวข้องสัมพันธ์กัน
ส,ส 1.1,รู้ และเข้าใจประวัติ ความสําคัญ ศาสดา หลักธรรมของพระพุทธศาสนาหรือศาสนาที่ตนนับถือและศาสนาอื่น มีศรัทธาที่ถูกต้อง ยึด มั่น และปฏิบัติตามหลักธรรม เพื่ออยู่ร่วมกันอย่างสันติสุข
ส,ส 1.2,เข้าใจและปฏิบัติตนตามหน้าที่ของการเป็นพลเมืองดี มีค่านิยมที่ดีงาม และธํารงรักษาประเพณีและวัฒนธรรมไทย ดํารงชีวิตอยู่รวมกันในสังคมไทย และสังคมโลกอย่างสันติสุข
ส,ส 2.1,เข้าใจระบบการเมืองการปกครองในสังคมปัจจุบัน ยึดมั่น ศรัทธา และธํารงรักษาไว้ซึ่งการปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข
ส,ส 2.2,เข้าใจระบบการเมืองการปกครองในสังคมปัจจุบัน ยึดมั่น ศรัทธา และธํารงรักษาไว้ซึ่งการปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข
ส,ส 3.1,เข้าใจและสามารถบริหารจัดการทรัพยากรในการผลิตและการบริโภคการใช้ทรัพยากรที่มีอยู่จํากัดได้อย่างมีประสิทธิภาพและคุ้มค่า รวมทั้งเข้าใจหลักการของเศรษฐกิจพอเพียง เพื่อการดํารงชีวิตอย่างมีดุลยภาพ
ส,ส 3.2,เข้าใจระบบ และสถาบันทางเศรษฐกิจต่าง ๆ ความสัมพันธ์ทางเศรษฐกิจ และความจําเป็นของการร่วมมือกันทางเศรษฐกิจในสังคมโลก
ส,ส 4.1,เข้าใจความหมาย ความสําคัญของเวลาและยุคสมัยทางประวัติศาสตร์สามารถใช้วิธีการทางประวัติศาสตร์มาวิเคราะห์เหตุการณ์ต่างๆ อย่างเป็นระบบ
ส,ส 4.2,เข้าใจพัฒนาการของมนุษยชาติจากอดีตจนถึงปัจจุบัน ในด้านความสัมพันธ์และการเปลี่ยนแปลงของเหตุการณ์อย่างต่อเนื่อง ตระหนักถึงความสําคัญและสามารถ วิเคราะห์ผลกระทบที่เกิดขึ้น
ส,ส 4.3,เข้าใจความเป็นมาของชาติไทย วัฒนธรรม ภูมิปัญญาไทย มีความรักความภูมิใจและธํารงความเป็นไทย
ส,ส 5.1,เข้าใจลักษณะของโลกทางกายภาพ และความสัมพันธ์ของสรรพสิ่งซึ่งมีผลต่อกันและกันในระบบของธรรมชาติ ใช้แผนที่และเครื่องมือทางภูมิศาสตร์ในการค้นหาวิเคราะห์สรุป และใช้ข้อมูลภูมิสารสนเทศอย่างมีประสิทธิภาพ
ส,ส 5.2,เข้าใจปฏิสัมพันธ์ระหว่างมนุษย์กับสภาพแวดล้อมทางกายภาพที่ก่อให้เกิดการสร้างสรรค์วัฒนธรรม มีจิตสํานึกและมีส่วนร่วมในการอนุรักษ์ทรัพยากรและสิ่งแวดล้อมเพื่อการพัฒนาที่ยั่งยืน
พ,พ 1.1,เข้าใจธรรมชาติของการเจริญเติบโตและพัฒนาการของมนุษย์
พ,พ 2.1,เข้าใจและเห็นคุณค่าตนเอง ครอบครัว เพศศึกษา และมีทักษะในการดําเนินชีวิต
พ,พ 3.1,เข้าใจ มีทกษะในการเคลื่อนไหว กิจกรรมทางกาย การเล่นเกม และกีฬา
พ,พ 3.2,รักการออกกําลังกาย การเล่นเกม และการเล่นกีฬา ปฏิบัติเป็นประจําอย่างสม่ําเสมอ มีวินัย เคารพสิทธิ กฎกติกา มีน้ําใจนักกีฬา มีจิตวิญญาณในการแข่งขัน และชื่นชมในสุนทรียภาพของการกีฬา
พ,พ 4.1,เห็นคุณค่าและมีทักษะในการสร้างเสริมสุขภาพ การดํารงสุขภาพ การป้องกันโรคและการสร้างเสริมสมรรถภาพเพื่อสุขภาพ
พ,พ 5.1,ป้องกันและหลีกเลี่ยงปัจจัยเสี่ยง พฤติกรรมเสี่ยงต่อสุขภาพ อุบัติเหตุการใช้ยาสารเสพติด และความรุนแรง
ศ,ศ 1.1,สร้างสรรค์งานทัศนศิลป์ตามจินตนาการ และความคิดสร้างสรรค์ วิเคราะห์วิพากษ์ วิจารณ์คุณค่างานทัศนศิลป์ ถ่ายทอดความรู้สึก ความคิดต่องานศิลปะอย่างอิสระ ชื่นชม และประยุกต์ใช้ในชีวิตประจําวัน
ศ,ศ 1.2,เข้าใจความสัมพันธ์ระหว่างทัศนศิลป์ ประวัติศาสตร์ และวัฒนธรรม เห็นคุณค่างานทัศนศิลป์ที่เป็นมรดกทางวัฒนธรรม ภูมิปัญญาท้องถิ่น ภูมิปัญญาไทยและสากล
ศ,ศ 2.1,เข้าใจและแสดงออกทางดนตรีอย่างสร้างสรรค์ วิเคราะห์ วิพากษ์วิจารณ์คุณค่าดนตรี ถ่ายทอดความรู้สึก ความคิดต่อดนตรีอย่างอิสระ ชื่นชม และประยุกต์ใช้ในชีวิตประจําวัน
ศ,ศ 2.2,เข้าใจความสัมพันธ์ระหว่างดนตรี ประวัติศาสตร์ และวัฒนธรรม เห็นคุณค่างานดนตรีที่เป็นมรดกทางวัฒนธรรม ภูมิปัญญาท้องถิ่น ภูมิปัญญาไทยและสากล
ศ,ศ 3.1,เข้าใจและแสดงออกทางนาฏศิป์อย่างสร้างสรรค์ วิเคราะห์ วิพากษ์วิจารณ์คุณค่านาฏศิลป์ ถ่ายทอดความรู้สึก ความคิดอย่างอิสระ ชื่นชม และประยุกต์ใช้ในชีวิตประจําวัน
ศ,ศ 3.2,เข้าใจความสัมพันธ์ระหว่างนาฏศิลป์ ประวัติศาสตร์ และวัฒนธรรม เห็นคุณค่างานดนตรีที่เป็นมรดกทางวัฒนธรรม ภูมิปัญญาท้องถิ่น ภูมิปัญญาไทยและสากล
ง,ง 1.1,เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว
ง,ง 2.1,เข้าใจเทคโนโลยี และกระบวนการเทคโนโลยี ออกแบบและสร้างสิ่งของเครื่องใช้หรือวิธีการ ตามกระบวนการเทคโนโลยีอย่างมีความคิดสร้างสรรค์เลือกใช้เทคโนโลยีในทางสร้างสรรค์ต่อชีวิต สังคม สิ่งแวดล้อม และมีส่วนร่วมในการจัดการเทคโนโลยีที่ยั่งยืนเข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว
ง,ง 3.1,เข้าใจเห็นคุณค่า และใช้กระบวนการเทคโนโลยีสารสนเทศในการสืบค้นข้อมูลการเรียนรู้ การสื่อสาร การแก้ปัญหาการทํางาน และอาชีพอย่างมีประสิทธิภาพประสิทธิผล และมีคุณธรรม
ง,ง 4.1,เข้าใจมีทักษะที่จําเป็น มีประสบการณ์ เห็นแนวทางในงานอาชีพใช้เทคโนโลยีเพื่อพัฒนาอาชีพ มีคุณธรรม และมีเจตคติที่ดีต่ออาชีพ
ต,ต 1.1,เข้าใจและตีความเรื่องที่ฟังและอานจากสื่อประเภทต่างๆ และแสดงความคิดเห็นอย่างมีเหตุผล
ต,ต 1.2,มีทักษะการสื่อสารทางภาษาในการแลกเปลี่ยนข้อมูลข่าวสาร แสดงความรู้สึกและความคิดเห็นอย่างมีประสิทธิภาพ
ต,ต 1.3,นําเสนอข้อมูลข่าวสาร ความคิดรวบยอด และความคิดเห็นในเรื่องต่างๆ โดยการพูดและการเขียน
ต,ต 2.1,เข้าใจความสัมพันธ์ระหว่างภาษากับวัฒนธรรมของเจ้าของภาษา และนําไปใช้ได้อย่างเหมาะสมกับกาลเทศะ
ต,ต 2.2,เข้าใจความเหมือนและความแตกต่างระหว่างภาษาและวัฒนธรรมของเจ้าของภาษากับภาษาและวัฒนธรรมไทย และนํามาใช้อย่างถูกต้องและเหมาะสม
ต,ต 3.1,ใช้ภาษาต่างประเทศในการเชื่อมโยงความรู้กับกลุ่มสาระการเรียนรู้อื่น และเป็นพื้นฐานในการพัฒนา แสวงหาความรู้และเปิดโลกทัศน์ของตน
ต,ต 4.1,ใช้ภาษาต่างประเทศในสถานการณ์ต่างๆ ทั้งในสถานศึกษา ชุมชน และสังคม
ต,ต 4.2,ใช้ภาษาต่างประเทศเป็นเครื่องมือพื้นฐานในการศึกษาต่อ การประกอบอาชีพและการแลกเปลี่ยนเรียนรู้กับสังคมโลก